Cast	Pic	Task	Part	Dur	Lang	RT	Rep	Freq_1_LF	CogStatus_1_C
avión	123	BN	1P1	292	1	446	4	2	1
avión	123	BN	1P1	327	1	556	1	2	1
avión	123	BN	1P1	315	1	575	2	2	1
avión	123	BN	1P1	260	1	446	3	2	1
balcón	120	BN	1P1	313	1	609	4	2	1
balcón	120	BN	1P1	305	1	920	3	2	1
balcón	120	BN	1P1	390	1	725	1	2	1
balcón	120	BN	1P1	380	1	659	2	2	1
bolsa	128	BN	1P1	313	1	620	1	2	1
bolsa	128	BN	1P1	313	1	522	4	2	1
bolsa	128	BN	1P1	289	1	526	3	2	1
bolsa	128	BN	1P1	283	1	572	2	2	1
bombilla	107	BN	1P1	396	1	487	2	1	1
bombilla	107	BN	1P1	380	1	433	3	1	1
bombilla	107	BN	1P1	399	1	510	4	1	1
bombilla	107	BN	1P1	408	1	514	1	1	1
calcetín	112	BN	1P1	381	1	523	3	1	2
calcetín	112	BN	1P1	379	1	477	4	1	2
calcetín	112	BN	1P1	396	1	476	2	1	2
calcetín	112	BN	1P1	457	1	532	1	1	2
cepillo	113	BN	1P1	365	1	971	2	1	2
cepillo	113	BN	1P1	450	1	1020	1	1	2
colchón	111	BN	1P1	316	1	536	4	1	2
colchón	111	BN	1P1	356	1	610	3	1	2
colchón	111	BN	1P1	359	1	926	2	1	2
colchón	111	BN	1P1	324	1	868	1	1	2
columpio	114	BN	1P1	373	1	585	3	1	2
columpio	114	BN	1P1	331	1	642	4	1	2
columpio	114	BN	1P1	334	1	593	2	1	2
columpio	114	BN	1P1	414	1	773	1	1	2
cuchillo	132	BN	1P1	426	1	960	1	2	2
cuchillo	132	BN	1P1	335	1	547	2	2	2
cuchillo	132	BN	1P1	366	1	526	3	2	2
cuchillo	132	BN	1P1	362	1	616	4	2	2
escalera	125	BN	1P1	454	1	655	1	2	1
escalera	125	BN	1P1	446	1	446	2	2	1
escalera	125	BN	1P1	492	1	414	4	2	1
escalera	125	BN	1P1	336	1	513	3	2	1
escoba	105	BN	1P1	381	1	465	2	1	1
escoba	105	BN	1P1	286	1	469	4	1	1
escoba	105	BN	1P1	347	1	488	3	1	1
escoba	105	BN	1P1	358	1	670	1	1	1
espejo	133	BN	1P1	343	1	523	3	2	2
espejo	133	BN	1P1	408	1	742	1	2	2
espejo	133	BN	1P1	325	1	501	4	2	2
espejo	133	BN	1P1	352	1	643	2	2	2
flor	127	BN	1P1	162	1	550	1	2	1
flor	127	BN	1P1	215	1	487	2	2	1
flor	127	BN	1P1	143	1	549	3	2	1
flor	127	BN	1P1	230	1	517	4	2	1
globo	100	BN	1P1	335	1	521	1	1	1
globo	100	BN	1P1	280	1	438	2	1	1
globo	100	BN	1P1	260	1	476	3	1	1
globo	100	BN	1P1	281	1	452	4	1	1
hacha	116	BN	1P1	274	1	498	3	1	2
hacha	116	BN	1P1	291	1	462	4	1	2
hacha	116	BN	1P1	297	1	501	2	1	2
hacha	116	BN	1P1	326	1	556	1	1	2
hilo	130	BN	1P1	211	1	748	1	2	2
hilo	130	BN	1P1	197	1	674	4	2	2
hilo	130	BN	1P1	235	1	578	2	2	2
hilo	130	BN	1P1	228	1	657	3	2	2
hoja	135	BN	1P1	278	1	658	1	2	2
hoja	135	BN	1P1	256	1	477	4	2	2
hoja	135	BN	1P1	242	1	473	3	2	2
hoja	135	BN	1P1	229	1	481	2	2	2
hoz	115	BN	1P1	243	1	585	3	1	2
hoz	115	BN	1P1	208	1	510	4	1	2
hoz	115	BN	1P1	292	1	524	2	1	2
hoz	115	BN	1P1	295	1	642	1	1	2
hucha	119	BN	1P1	246	1	554	4	1	2
hucha	119	BN	1P1	274	1	528	3	1	2
hucha	119	BN	1P1	305	1	604	2	1	2
hucha	119	BN	1P1	297	1	1250	1	1	2
huevo	131	BN	1P1	281	1	887	1	2	2
huevo	131	BN	1P1	232	1	531	3	2	2
huevo	131	BN	1P1	270	1	480	4	2	2
huevo	131	BN	1P1	267	1	543	2	2	2
mancha	136	BN	1P1	340	1	1477	3	2	2
mancha	136	BN	1P1	303	1	807	4	2	2
mesa	137	BN	1P1	264	1	559	4	2	2
mesa	137	BN	1P1	238	1	409	3	2	2
mesa	137	BN	1P1	287	1	472	1	2	2
mesa	137	BN	1P1	269	1	505	2	2	2
muleta	117	BN	1P1	341	1	588	4	1	2
muleta	117	BN	1P1	351	1	725	3	1	2
muleta	117	BN	1P1	324	1	646	2	1	2
muleta	117	BN	1P1	349	1	632	1	1	2
patín	102	BN	1P1	292	1	565	3	1	1
patín	102	BN	1P1	310	1	536	2	1	1
patín	102	BN	1P1	330	1	680	1	1	1
patín	102	BN	1P1	284	1	534	4	1	1
pelota	129	BN	1P1	374	1	991	1	2	1
pelota	129	BN	1P1	329	1	925	2	2	1
pelota	129	BN	1P1	347	1	602	4	2	1
pelota	129	BN	1P1	306	1	576	3	2	1
peluca	108	BN	1P1	297	1	587	3	1	1
peluca	108	BN	1P1	319	1	548	4	1	1
peluca	108	BN	1P1	298	1	640	2	1	1
peluca	108	BN	1P1	317	1	506	1	1	1
pincel	103	BN	1P1	334	1	672	3	1	1
pincel	103	BN	1P1	321	1	587	2	1	1
pincel	103	BN	1P1	301	1	595	4	1	1
pincel	103	BN	1P1	410	1	623	1	1	1
puerta	126	BN	1P1	308	1	639	1	2	1
puerta	126	BN	1P1	296	1	530	2	2	1
puerta	126	BN	1P1	284	1	486	4	2	1
puerta	126	BN	1P1	298	1	563	3	2	1
regadera	106	BN	1P1	345	1	592	2	1	1
regadera	106	BN	1P1	356	1	670	3	1	1
regadera	106	BN	1P1	374	1	610	4	1	1
regadera	106	BN	1P1	395	1	1585	1	1	1
reloj	121	BN	1P1	270	1	445	3	2	1
reloj	121	BN	1P1	227	1	519	4	2	1
reloj	121	BN	1P1	284	1	499	2	2	1
reloj	121	BN	1P1	308	1	681	1	2	1
sierra	109	BN	1P1	375	1	517	3	1	1
sierra	109	BN	1P1	308	1	634	4	1	1
sierra	109	BN	1P1	292	1	613	2	1	1
sierra	109	BN	1P1	426	1	605	1	1	1
silla	138	BN	1P1	281	1	441	4	2	2
silla	138	BN	1P1	299	1	411	3	2	2
silla	138	BN	1P1	396	1	453	1	2	2
silla	138	BN	1P1	275	1	415	2	2	2
sombrero	134	BN	1P1	371	1	451	3	2	2
sombrero	134	BN	1P1	453	1	407	2	2	2
sombrero	134	BN	1P1	427	1	525	1	2	2
sombrero	134	BN	1P1	381	1	461	4	2	2
taburete	101	BN	1P1	376	1	642	4	1	1
taburete	101	BN	1P1	409	1	843	1	1	1
teléfono	122	BN	1P1	405	1	516	4	2	1
teléfono	122	BN	1P1	379	1	665	2	2	1
teléfono	122	BN	1P1	393	1	497	3	2	1
teléfono	122	BN	1P1	437	1	633	1	2	1
ventana	139	BN	1P1	379	1	422	1	2	2
ventana	139	BN	1P1	345	1	862	3	2	2
ventana	139	BN	1P1	360	1	847	4	2	2
ventana	139	BN	1P1	379	1	471	2	2	2
vestido	124	BN	1P1	392	1	742	1	2	1
vestido	124	BN	1P1	357	1	438	4	2	1
vestido	124	BN	1P1	373	1	495	2	2	1
vestido	124	BN	1P1	350	1	480	3	2	1
violín	104	BN	1P1	318	1	535	2	1	1
violín	104	BN	1P1	326	1	478	3	1	1
violín	104	BN	1P1	336	1	483	4	1	1
violín	104	BN	1P1	312	1	786	1	1	1
avión	123	BN	1P10	318	1	528	4	2	1
avión	123	BN	1P10	311	1	565	3	2	1
avión	123	BN	1P10	353	1	600	2	2	1
avión	123	BN	1P10	299	1	561	1	2	1
balcón	120	BN	1P10	452	1	677	4	2	1
balcón	120	BN	1P10	423	1	731	3	2	1
balcón	120	BN	1P10	477	1	778	2	2	1
balcón	120	BN	1P10	519	1	784	1	2	1
bolsa	128	BN	1P10	292	1	656	3	2	1
bolsa	128	BN	1P10	338	1	576	4	2	1
bolsa	128	BN	1P10	418	1	767	1	2	1
bolsa	128	BN	1P10	400	1	650	2	2	1
bombilla	107	BN	1P10	514	1	598	1	1	1
bombilla	107	BN	1P10	497	1	646	2	1	1
bombilla	107	BN	1P10	434	1	614	3	1	1
bombilla	107	BN	1P10	445	1	552	4	1	1
calcetín	112	BN	1P10	545	1	631	1	1	2
calcetín	112	BN	1P10	480	1	655	4	1	2
calcetín	112	BN	1P10	510	1	610	2	1	2
calcetín	112	BN	1P10	454	1	558	3	1	2
cepillo	113	BN	1P10	493	1	488	4	1	2
cepillo	113	BN	1P10	470	1	610	3	1	2
cepillo	113	BN	1P10	552	1	629	1	1	2
cepillo	113	BN	1P10	488	1	585	2	1	2
colchón	111	BN	1P10	386	1	857	3	1	2
colchón	111	BN	1P10	411	1	765	4	1	2
colchón	111	BN	1P10	445	1	926	2	1	2
colchón	111	BN	1P10	438	1	1170	1	1	2
columpio	114	BN	1P10	458	1	664	4	1	2
columpio	114	BN	1P10	415	1	660	3	1	2
columpio	114	BN	1P10	472	1	734	1	1	2
columpio	114	BN	1P10	462	1	685	2	1	2
corcho	110	BN	1P10	294	1	1130	4	1	2
corcho	110	BN	1P10	287	1	1173	3	1	2
cuchillo	132	BN	1P10	507	1	772	1	2	2
cuchillo	132	BN	1P10	481	1	574	4	2	2
cuchillo	132	BN	1P10	469	1	584	3	2	2
cuchillo	132	BN	1P10	541	1	633	2	2	2
escalera	125	BN	1P10	457	1	747	3	2	1
escalera	125	BN	1P10	465	1	906	4	2	1
escalera	125	BN	1P10	523	1	616	2	2	1
escalera	125	BN	1P10	524	1	674	1	2	1
escoba	105	BN	1P10	392	1	729	4	1	1
escoba	105	BN	1P10	438	1	724	1	1	1
escoba	105	BN	1P10	425	1	634	3	1	1
escoba	105	BN	1P10	475	1	717	2	1	1
espejo	133	BN	1P10	442	1	628	1	2	2
espejo	133	BN	1P10	448	1	560	4	2	2
